tenure,monthly,segment,churn
16,110.9220287709464,smb,1
44,127.41781625084906,enterprise,1
64,80.24193349785277,enterprise,1
67,73.46363266739812,smb,1
21,96.90262277004572,midmarket,1
71,73.80153711194488,midmarket,1
1,35.16635554919902,smb,0
38,26.770765501410455,smb,0
69,105.88324511821315,midmarket,1
64,80.76405081471837,midmarket,1
26,126.8994612418894,enterprise,1
24,117.16789960869706,enterprise,1
12,123.68324146359126,smb,1
5,90.0622513870491,enterprise,0
23,22.905682723443014,smb,0
2,46.05980158139181,midmarket,0
32,92.26403022212648,midmarket,1
12,66.80726035083241,midmarket,0
23,46.442131868885845,smb,0
51,95.63908183976349,smb,1
45,108.93435405907087,smb,1
60,102.62571145727831,midmarket,1
64,95.3395670531792,smb,1
28,87.91663162739663,smb,1
58,22.380569047955305,smb,0
31,127.079918173724,smb,1
30,126.54101389588263,enterprise,1
21,97.82693644317796,enterprise,1
3,89.71556404073932,midmarket,0
62,49.39542569956,midmarket,0
55,57.30708698083926,smb,1
35,57.13257669036723,smb,0
2,119.93813202713187,smb,1
67,90.78852434731284,smb,0
39,126.33584069877769,smb,1
26,122.55633439506957,midmarket,1
56,99.51303883690423,midmarket,1
40,68.21593230529434,smb,0
41,64.63992083785284,smb,0
44,81.6499984228555,midmarket,1
65,52.06784719977558,midmarket,1
53,97.95153977586313,enterprise,1
27,129.94161793450556,smb,1
11,128.1059973281803,smb,1
25,95.58848867598222,smb,1
48,91.1533392520842,smb,1
46,65.82667875992256,enterprise,0
20,25.853673517757258,enterprise,0
7,51.13974623989877,smb,0
35,126.68462892420993,enterprise,1
41,100.78246127497687,smb,1
53,74.96531993604273,smb,1
2,81.24474890908994,smb,0
14,57.89122111609538,smb,0
58,118.87579441077393,smb,1
46,83.0075841787725,smb,1
14,53.97774123020916,smb,0
42,109.1816655565061,midmarket,1
16,78.36148615519585,smb,1
21,89.68211309328319,midmarket,1
36,52.63208882777683,enterprise,0
71,25.291870238457765,smb,0
29,52.72293659642495,midmarket,0
56,122.62928212911284,enterprise,1
56,98.86351033315233,enterprise,1
2,103.56655894533543,smb,1
69,126.7323353965851,midmarket,1
41,23.658413209887943,midmarket,0
3,38.93700030414172,midmarket,0
47,124.04779916393005,smb,1
49,61.17844170100884,enterprise,0
49,118.34044051066873,enterprise,1
17,108.3280738940418,smb,1
64,67.03902273114512,smb,1
46,77.94985322925652,enterprise,1
25,101.84702677097148,midmarket,0
17,75.07663170498911,smb,1
10,51.280231966220285,enterprise,0
56,75.15642806278952,enterprise,0
51,88.38375390864559,enterprise,1
48,38.59169165736467,smb,0
38,66.45387292126543,enterprise,0
44,115.59310410533807,enterprise,1
26,80.76869461934218,smb,0
59,103.92970700067788,enterprise,1
15,76.80872509086647,smb,0
50,41.972348613120225,enterprise,0
25,54.0266356195892,enterprise,0
22,47.73881066259152,enterprise,0
50,22.709720609751443,midmarket,0
66,113.89683213145233,midmarket,1
4,124.78602813489441,enterprise,1
51,97.35853454609104,midmarket,1
30,106.30112058553263,smb,1
43,20.12343776577339,midmarket,0
65,101.22876110676012,enterprise,1
4,58.79019724649491,midmarket,0
8,74.86410089965014,enterprise,0
30,75.13801526912782,enterprise,0
33,102.42518963115056,enterprise,1
69,37.62546363740362,midmarket,0
64,25.87026451525245,midmarket,0
23,69.15120358411684,midmarket,0
48,111.35871252767022,smb,1
11,93.451430557697,smb,1
38,88.58985982848667,midmarket,1
68,42.69193754644207,enterprise,0
7,96.6940020922052,smb,0
43,121.9286061249328,midmarket,1
53,20.700757250830936,midmarket,0
65,80.05855158704061,smb,1
3,57.437846343551996,smb,0
66,42.02000709751953,enterprise,1
19,61.99243730424844,smb,0
45,62.20432274516,midmarket,0
18,100.7218992370843,smb,0
7,25.185923448486054,enterprise,0
34,92.00446303621304,midmarket,1
46,81.26304047712634,midmarket,1
44,117.30810318195243,smb,1
