customer_id,plan_name,amount
C0,Gold,0
C1,Silver,1
C2,Gold,2
C3,Silver,3
C4,Gold,4
C5,Silver,5
C6,Gold,6
C7,Silver,7
C8,Gold,8
C9,Silver,9
C10,Gold,10
C11,Silver,11
C12,Gold,12
C13,Silver,13
C14,Gold,14
C15,Silver,15
C16,Gold,16
C17,Silver,17
C18,Gold,18
C19,Silver,19
C20,Gold,20
C21,Silver,21
C22,Gold,22
C23,Silver,23
C24,Gold,24
C25,Silver,25
C26,Gold,26
C27,Silver,27
C28,Gold,28
C29,Silver,29
C30,Gold,30
C31,Silver,31
C32,Gold,32
C33,Silver,33
C34,Gold,34
C35,Silver,35
C36,Gold,36
C37,Silver,37
C38,Gold,38
C39,Silver,39
C40,Gold,40
C41,Silver,41
C42,Gold,42
C43,Silver,43
C44,Gold,44
C45,Silver,45
C46,Gold,46
C47,Silver,47
C48,Gold,48
C49,Silver,49
C50,Gold,50
C51,Silver,51
C52,Gold,52
C53,Silver,53
C54,Gold,54
C55,Silver,55
C56,Gold,56
C57,Silver,57
C58,Gold,58
C59,Silver,59
C60,Gold,60
C61,Silver,61
C62,Gold,62
C63,Silver,63
C64,Gold,64
C65,Silver,65
C66,Gold,66
C67,Silver,67
C68,Gold,68
C69,Silver,69
C70,Gold,70
C71,Silver,71
C72,Gold,72
C73,Silver,73
C74,Gold,74
C75,Silver,75
C76,Gold,76
C77,Silver,77
C78,Gold,78
C79,Silver,79
