tenure,MonthlyCharges,contract,churn
61,67.99879238078321,One year,No
46,43.23729196393038,Two year,Yes
37,100.1880578718308,One year,No
20,112.35301597834695,One year,No
22,46.61302722922926,One year,No
3,73.89344076221869,Month-to-month,No
6,64.27528289745315,Month-to-month,Yes
2,113.1017315981155,Two year,No
13,24.051071118843463,One year,No
58,93.20061956565608,One year,No
47,81.43732469489966,Month-to-month,No
65,22.836536511352104,Two year,No
36,91.92197728267404,Two year,Yes
44,21.599172952357197,One year,No
69,95.7951002356428,Month-to-month,No
52,71.2758723262078,Two year,No
45,112.91042207970062,One year,No
39,26.608249672407474,Two year,Yes
40,104.13172796123833,Month-to-month,No
67,26.66900087671014,One year,No
20,54.43099788041252,Two year,No
58,63.02987319478333,Month-to-month,Yes
48,116.60620807840702,Month-to-month,No
1,76.2231842228457,One year,No
28,45.88645931709323,Two year,No
61,44.167571409434494,Two year,No
40,108.81183206591798,Two year,No
3,42.58694284173244,One year,No
55,32.45547058352835,One year,No
52,48.83307570075776,One year,No
61,78.61230648127328,Two year,No
13,75.40905021732678,Month-to-month,No
7,100.97107759127778,Month-to-month,No
62,76.04759520061859,Two year,No
2,48.84212144312105,Month-to-month,No
39,61.28963426808927,Month-to-month,Yes
6,101.81209709709104,Two year,No
22,82.65064624197535,Month-to-month,Yes
35,115.90776426974422,Two year,No
31,56.940441109168084,Two year,No
29,75.26115105212872,Month-to-month,No
3,79.39242016131683,One year,No
1,104.829120827506,Month-to-month,No
9,34.54735381865318,One year,No
1,60.651033674812666,One year,No
48,110.9958961662297,Two year,No
38,24.30668885682042,Two year,No
46,102.27062801815019,Month-to-month,Yes
19,61.538403737122465,Month-to-month,Yes
44,102.98039852781028,Two year,No
55,20.995456080729195,Month-to-month,No
28,56.50461577582706,Month-to-month,No
33,27.863003716563988,One year,No
71,85.26145763366384,Month-to-month,Yes
58,47.38490985995572,Two year,No
70,90.26520706597863,Two year,No
27,114.38014269420908,Month-to-month,No
49,32.68171022612478,One year,No
68,106.47782954007741,One year,No
47,25.946415160033848,Month-to-month,No
60,58.07705083108894,One year,Yes
49,62.97740611785766,Two year,No
50,68.88495468334642,One year,No
28,117.64623219360445,Month-to-month,No
63,97.56911881018283,Month-to-month,No
10,50.8857362719261,One year,No
42,46.983678550080015,One year,No
52,106.31202041893178,Month-to-month,Yes
61,108.130717273769,One year,No
38,71.07065055436453,Month-to-month,No
27,54.429573096232524,One year,No
23,119.49173481609178,Two year,No
31,51.59435453677002,Month-to-month,No
35,38.271237892656245,Two year,No
52,108.00981213040697,Month-to-month,Yes
64,101.2335398111254,One year,No
6,86.78894055713512,Two year,No
67,115.84136317779519,Month-to-month,Yes
38,112.57145772144187,Two year,No
26,94.82485033017541,One year,No
48,106.07014095476777,One year,No
41,44.71467403221075,Month-to-month,No
19,34.12465569010316,Month-to-month,Yes
23,87.00618493149359,Two year,No
52,91.46185366547527,One year,No
43,36.70529287822722,Two year,No
36,59.5557273104876,Two year,No
24,111.02557662160548,One year,No
55,76.14007675502229,Two year,No
28,77.83359149262726,One year,No
24,39.41297728907936,Month-to-month,Yes
64,72.60222486178752,Month-to-month,Yes
19,72.34347273949199,One year,No
17,28.8935640246272,Month-to-month,No
51,118.19426931267063,Month-to-month,No
45,77.13956004557744,One year,No
4,20.640888266431016,One year,No
6,97.26492012253885,One year,Yes
27,117.82657138401457,One year,No
60,78.98700283209504,Two year,No
29,51.9681636282665,Two year,No
56,38.75077157277849,Two year,Yes
23,87.25266339168692,Month-to-month,No
17,39.510739845680504,Month-to-month,Yes
57,77.76878925178592,One year,No
63,80.22391763796257,One year,No
6,116.2423093124381,Two year,No
5,27.22652655298768,Two year,Yes
48,69.99728236586185,Two year,Yes
24,94.40974792826482,Month-to-month,No
41,37.72267404746588,Month-to-month,No
11,58.80667317845192,Month-to-month,Yes
62,26.289549845497135,Month-to-month,No
32,92.58808637757768,Two year,No
64,28.776788675948676,One year,No
57,59.50917083579676,Two year,Yes
51,107.35226311207322,Month-to-month,Yes
17,67.23003367500115,One year,No
55,111.26219336408856,Month-to-month,Yes
4,96.59171177388724,Month-to-month,Yes
41,111.53239601117659,Two year,No
29,32.74030090489063,Two year,No
71,27.356290533063202,Month-to-month,Yes
15,27.032625356921805,One year,No
68,106.88542943473193,Two year,No
7,83.40699793474433,One year,No
45,69.6571693798853,Two year,No
42,36.354341619648025,Month-to-month,Yes
64,87.37334377272737,Month-to-month,No
22,51.801738784579804,Month-to-month,Yes
65,91.08798632659449,One year,Yes
48,66.03553288673248,Month-to-month,No
64,70.74698605445272,Month-to-month,No
15,98.96657324598704,One year,No
54,29.274547552338074,One year,No
67,77.87585033235025,Month-to-month,Yes
4,39.723494729586854,One year,No
26,100.81367518135681,Two year,No
46,68.88460361292599,Two year,No
8,118.86953333678197,Month-to-month,No
37,38.29433246757187,Two year,Yes
45,116.30191401242672,One year,No
55,100.0917036608609,One year,No
66,68.12604965752686,One year,No
30,101.35340641796354,Two year,No
32,80.28489052411163,Month-to-month,Yes
34,85.51210639913802,One year,No
68,111.36907627073889,Two year,No
14,26.527041641129138,One year,No
36,103.49882039584006,One year,Yes
4,58.18147799662388,Month-to-month,Yes
31,52.554561610070444,Two year,No
68,119.40267712099843,Month-to-month,Yes
45,98.11905020763781,Month-to-month,Yes
25,68.55351387795878,Month-to-month,No
71,62.26283964247812,One year,No
43,107.7528905871796,One year,Yes
68,28.681487221489416,One year,No
2,90.8418756913866,Two year,No
33,98.9154623705146,One year,No
