tenure,usage,segment,revenue
32,15.999000103194975,small,207.74134823649962
4,26.850361706668558,small,128.80187739063908
7,12.698093994022937,mid,121.33379625716563
10,17.018152441146057,mid,136.3557195077255
8,18.39378040356902,small,136.02486841029904
32,21.123095126745472,mid,209.34498323676343
34,22.876746942539043,small,220.45832760412202
23,13.754514954522287,mid,162.6478703394795
2,11.349932743637389,mid,98.72945025597463
4,19.97792883689016,small,126.91445561780044
13,26.067819126430408,small,155.36892311842513
17,23.78529029648262,mid,164.89349914350584
25,21.0782539184998,small,184.63792675795972
19,18.414221779913223,small,168.89924765062221
11,21.466168479001123,mid,145.96459652408862
7,18.78332457128912,small,123.94918696128309
27,24.086032902462975,mid,202.79024755980547
29,16.02776330556559,small,196.27929214716443
2,20.671199735431696,small,118.3558131473331
5,19.44609931944203,mid,120.65862101351007
18,22.716796947650764,small,176.35555075765308
16,21.123192618246886,mid,162.41194008928326
35,32.75017318153953,mid,237.38268438625053
21,27.493273790677414,mid,183.61524618051902
17,27.483685827592552,mid,171.8978506718767
17,9.802480812026788,small,151.55864111411555
26,18.298416876488112,mid,187.74191685868982
23,16.95694692043535,mid,181.65230118344198
7,22.663607999445198,small,136.45175588946964
29,8.604867554723366,mid,190.2327952718588
30,25.87249339504594,mid,215.477907666629
38,25.33491655447657,mid,236.81712611092388
31,13.489645708771027,mid,190.44814422365323
12,15.107257356892937,small,140.7444426216384
13,15.994139946094093,small,147.14810005608535
26,20.216479501415726,small,192.15464042753044
26,23.204855323447354,small,197.91252431982602
28,30.239430276786663,mid,210.04872199611157
34,19.012772850561646,small,213.89597166294212
12,23.837512794518098,small,148.0029617367291
37,20.777089050297175,mid,232.93552628170627
1,28.799631419541267,mid,124.15306104173027
3,23.710789306057844,mid,120.82516069029035
38,26.842752254372396,mid,233.8524431272028
37,14.611624051082687,small,218.2430445665835
12,19.038796442370245,mid,150.82483978716854
6,15.931137890789797,small,123.35127963277498
13,27.524737020041535,mid,157.23654553595745
2,23.288199519088863,small,124.7214591676652
35,18.47427787111242,mid,223.57802961754956
26,17.737660564647992,mid,191.9558294753844
23,22.423324391033507,small,188.14792162051958
10,16.492522349102234,mid,139.7121384089994
19,15.347055618939223,small,164.45891405189755
8,22.406372461357662,mid,140.0689247159973
31,32.31566016052613,mid,221.3218228816115
19,18.769332229675932,mid,173.07529636415342
2,17.220671096032227,small,111.43366029455503
10,14.144215829872286,mid,139.89874939287466
28,13.324945212203087,mid,180.0859314025978
21,22.62491617282113,small,181.6965181144791
15,24.254015163892763,mid,165.88146739126324
10,20.04587360441245,mid,138.6924926023716
4,21.662879943381043,small,124.93780915063452
24,20.57958288753552,mid,188.6047216358807
26,20.693274230236103,small,194.48010997151013
21,12.369204737085763,mid,162.35824960758185
37,17.709408634753895,small,222.62542076883318
37,20.55739653794974,small,231.25651302025236
9,16.084166097181573,small,136.42711287293045
24,17.61785128070091,mid,181.8608991674134
25,15.904399098361328,small,182.5742886538659
10,18.33251662900779,mid,138.46750869559946
12,24.26554137162568,small,156.5224187596435
20,17.96709824672201,small,164.9377836736361
29,19.230646599014477,mid,194.4066419028247
12,24.06859179719059,small,152.59328838082163
29,23.22385107078458,small,200.88727642708437
