as_of_date,demand,promo,revenue
2024-01-01,23.159347263460276,none,38.58706068303691
2024-01-02,25.529473911450978,on,40.89942869824779
2024-01-03,12.74012448462896,none,42.78869202518921
2024-01-04,20.186104815864777,none,41.53581385300398
2024-01-05,23.84115822715983,none,44.81614664906546
2024-01-06,25.056425476145975,none,44.074709376449725
2024-01-07,23.161365153248617,on,42.33051423361485
2024-01-08,25.891353557763512,on,46.47159627247507
2024-01-09,22.469872774099045,none,41.14761613229268
2024-01-10,23.453801395305238,none,46.141800994788994
2024-01-11,22.53621306271151,none,47.914868251550466
2024-01-12,18.978423895573894,on,44.0981718073664
2024-01-13,19.860113101285187,on,44.80361025796658
2024-01-14,23.738752738023187,on,47.28796410375223
2024-01-15,21.0594143951829,none,48.67849921599909
2024-01-16,26.81465412937516,none,47.1056712807376
2024-01-17,27.077159780209932,none,47.11013668143828
2024-01-18,28.796359015471133,on,48.867589181325506
2024-01-19,23.52177848736629,none,47.95639168727798
2024-01-20,27.95112926893587,none,45.420886176604455
2024-01-21,21.282470577532774,on,47.86198350837653
2024-01-22,21.751055810927276,on,48.60842247219586
2024-01-23,24.643909168882104,on,46.03865683703397
2024-01-24,25.444292509524427,on,50.23723729862802
2024-01-25,20.00303502238554,on,48.35359126421683
2024-01-26,19.807827431270848,on,51.72276561493575
2024-01-27,26.265235209473804,none,47.65799591344568
2024-01-28,22.813435781519388,none,49.21247792627077
2024-01-29,29.225071163953054,none,48.52062299745686
2024-01-30,26.983638590975076,none,54.40445392939628
2024-01-31,26.92155382783339,none,54.78354996716453
2024-02-01,26.825327884569184,none,55.57243073041809
2024-02-02,29.086425276787203,none,55.986467785184914
2024-02-03,26.140861563702806,on,55.24392549017152
2024-02-04,30.056892968780016,on,55.62399298587986
2024-02-05,25.422257041332706,on,50.83803920698725
2024-02-06,26.525006848029037,on,55.293249595387934
2024-02-07,25.358484414185234,on,54.03566539378239
2024-02-08,29.39298564654548,none,54.793445406155755
2024-02-09,27.907652737878518,on,53.37915701576891
2024-02-10,25.413198829214892,none,58.863421830170665
2024-02-11,34.205639828135126,none,56.95429438300763
2024-02-12,27.30885791378183,none,54.06433662237345
2024-02-13,28.251100679127845,on,58.451844720911495
2024-02-14,29.98249431738199,on,57.66197859505761
2024-02-15,34.24295273533397,none,56.10904845047923
2024-02-16,28.754849099748732,none,57.97072875939995
2024-02-17,31.509549741029012,on,57.398850913734634
2024-02-18,29.89638601288957,none,54.73489541687765
2024-02-19,25.40861899940965,none,56.65283538609846
2024-02-20,32.37593177959578,none,61.09230197180635
2024-02-21,33.261917848561225,none,61.145921318763754
2024-02-22,29.680041173933432,none,61.37915816654839
2024-02-23,30.55369098804706,none,58.86648010491057
2024-02-24,26.29605159818144,none,60.41099816178504
2024-02-25,26.43114408850711,none,62.131376555841904
2024-02-26,30.025440174659693,none,63.78122425633766
2024-02-27,33.27780012937804,none,61.11397602947354
2024-02-28,30.191276181952745,none,61.08009884687782
2024-02-29,32.67606863317303,on,65.87960814200052
2024-03-01,34.903302049162896,on,64.13311268127902
2024-03-02,32.48728718309646,none,63.63814328178376
2024-03-03,34.12340506799363,none,63.31965481996509
2024-03-04,36.94362052267273,none,63.88474858376718
2024-03-05,29.06191564033765,none,68.76921083813431
2024-03-06,35.23222522470549,on,67.93875718264002
2024-03-07,27.545946192625102,on,65.56445882617541
2024-03-08,34.69492774315106,on,64.29224791791798
2024-03-09,34.20898392424114,on,70.54697476374979
2024-03-10,32.16999570362522,none,70.74049587235619
2024-03-11,30.76806085837593,none,70.40829072160454
2024-03-12,34.01450682661382,on,70.08309229107638
2024-03-13,33.169284020957704,on,65.0258157955515
2024-03-14,34.892864789167135,on,66.61776079996565
2024-03-15,32.07659477150311,none,70.72987856587316
2024-03-16,36.636582005368844,on,69.43016963020246
2024-03-17,32.092449260684766,none,70.9109307422369
2024-03-18,34.487294177996205,on,69.74910503054973
2024-03-19,34.42403583418649,none,69.88597940277
2024-03-20,39.603662475368715,on,72.70668129966398
2024-03-21,31.51291858133213,none,71.1986272357786
2024-03-22,34.957928515228964,on,72.39449971761499
2024-03-23,39.94738199171907,none,73.3107477834252
2024-03-24,34.62497628592509,none,73.6632966118535
2024-03-25,33.081586612114975,on,75.91726326272185
2024-03-26,37.84852446550214,on,76.73655106604474
2024-03-27,36.32990877622872,on,71.6631141160426
2024-03-28,39.9042647683947,on,74.26104414275724
2024-03-29,34.83882954788702,on,73.90233921629967
2024-03-30,38.37275764616999,on,77.10657468203125
2024-03-31,39.99838195450549,on,73.85945108111967
2024-04-01,41.30716552122618,on,77.94644432625304
2024-04-02,35.081564280078084,on,78.19674359326808
2024-04-03,42.871366294031745,none,78.3513294274854
2024-04-04,36.0979100398758,none,75.64789124711896
2024-04-05,34.46234835451146,on,77.56462618893933
2024-04-06,36.336292389444395,none,76.23331447158509
2024-04-07,39.86454785313119,on,79.58781294194415
2024-04-08,38.63464770347115,none,81.10415053955411
2024-04-09,41.12136685641707,none,76.55212553127375
2024-04-10,41.48680983034009,on,78.34002462970412
2024-04-11,41.15443350331087,on,80.0669901404265
2024-04-12,39.63641628647831,none,79.73151578110898
2024-04-13,46.04223394442269,none,84.18006998420736
2024-04-14,34.15189937763381,none,81.30326470616751
2024-04-15,35.79695286914033,on,82.49923124542391
2024-04-16,39.67934214314636,none,80.17063279725004
2024-04-17,37.634348186487856,none,85.88036316602698
2024-04-18,33.93222394289495,none,83.52570213251362
2024-04-19,39.41479442500851,none,85.14222047619332
2024-04-20,39.75221673657434,none,84.16825266312789
2024-04-21,34.85435200706473,none,80.15300858115988
2024-04-22,44.97607881688758,on,81.59872240295749
2024-04-23,46.4973361942302,none,82.61866225173755
2024-04-24,46.502903352144955,on,86.53747918559226
2024-04-25,41.47497793863471,on,84.97564545101557
2024-04-26,43.64283650001872,none,87.25267530167112
2024-04-27,40.0375692915839,on,87.36955376812092
2024-04-28,44.219311932021334,none,87.69492585296953
2024-04-29,41.77747393289524,none,89.43429522634185
