account_id,tenure,usage,segment,revenue
account-0,1,10,small,111.20
account-1,2,27,mid,162.60
account-2,3,44,large,214.00
account-3,4,61,small,265.40
account-4,5,78,mid,316.80
account-5,6,95,large,361.70
account-6,7,22,small,170.10
account-7,8,39,mid,221.50
account-8,9,56,large,272.90
account-9,10,73,small,324.30
account-10,11,90,mid,369.20
account-11,12,17,large,177.60
account-12,13,34,small,229.00
account-13,14,51,mid,280.40
account-14,15,68,large,331.80
account-15,16,85,small,376.70
account-16,17,12,mid,185.10
account-17,18,29,large,236.50
account-18,19,46,small,287.90
account-19,20,63,mid,339.30
account-20,21,80,large,384.20
account-21,22,97,small,435.60
account-22,23,24,mid,244.00
account-23,24,41,large,295.40
account-24,25,58,small,346.80
account-25,26,75,mid,391.70
account-26,27,92,large,443.10
account-27,28,19,small,251.50
account-28,29,36,mid,302.90
account-29,30,53,large,354.30
account-30,31,70,small,399.20
account-31,32,87,mid,450.60
account-32,33,14,large,259.00
account-33,34,31,small,310.40
account-34,35,48,mid,361.80
account-35,36,65,large,406.70
account-36,1,82,small,306.90
account-37,2,99,mid,358.30
account-38,3,26,large,166.70
account-39,4,43,small,218.10
account-40,5,60,mid,263.00
account-41,6,77,large,314.40
account-42,7,94,small,365.80
account-43,8,21,mid,174.20
account-44,9,38,large,225.60
account-45,10,55,small,270.50
account-46,11,72,mid,321.90
account-47,12,89,large,373.30
account-48,13,16,small,181.70
account-49,14,33,mid,233.10
account-50,15,50,large,278.00
account-51,16,67,small,329.40
account-52,17,84,mid,380.80
account-53,18,11,large,189.20
account-54,19,28,small,240.60
account-55,20,45,mid,285.50
account-56,21,62,large,336.90
account-57,22,79,small,388.30
account-58,23,96,mid,439.70
account-59,24,23,large,248.10
account-60,25,40,small,293.00
account-61,26,57,mid,344.40
account-62,27,74,large,395.80
account-63,28,91,small,447.20
account-64,29,18,mid,255.60
account-65,30,35,large,300.50
account-66,31,52,small,351.90
account-67,32,69,mid,403.30
account-68,33,86,large,454.70
account-69,34,13,small,263.10
account-70,35,30,mid,308.00
account-71,36,47,large,359.40
account-72,1,64,small,259.60
account-73,2,81,mid,311.00
account-74,3,98,large,362.40
account-75,4,25,small,164.30
account-76,5,42,mid,215.70
account-77,6,59,large,267.10
account-78,7,76,small,318.50
account-79,8,93,mid,369.90
account-80,9,20,large,171.80
account-81,10,37,small,223.20
account-82,11,54,mid,274.60
account-83,12,71,large,326.00
account-84,13,88,small,377.40
account-85,14,15,mid,179.30
account-86,15,32,large,230.70
account-87,16,49,small,282.10
account-88,17,66,mid,333.50
account-89,18,83,large,384.90
account-90,19,10,small,186.80
account-91,20,27,mid,238.20
account-92,21,44,large,289.60
account-93,22,61,small,341.00
account-94,23,78,mid,392.40
account-95,24,95,large,437.30
account-96,25,22,small,245.70
account-97,26,39,mid,297.10
account-98,27,56,large,348.50
account-99,28,73,small,399.90
