external_id,customer_id,amount,currency,stage,source,owner_id,created_at,close_date,last_contact_days_ago,engagement_score,sales_rep_available,industry,num_interactions,converted
opp_1,cust_24,18689.18,AED,proposal,inbound,rep_4,2025-11-04,2026-01-11,4,0.54,True,healthcare,9,1
opp_2,cust_41,8304.33,AED,prospecting,outbound,rep_12,2025-05-28,2025-06-11,8,0.63,True,saas,0,0
opp_3,cust_161,9361.16,AED,prospecting,referral,rep_10,2025-07-18,2025-08-11,17,0.72,True,saas,5,0
opp_4,cust_117,7518.72,AED,proposal,inbound,rep_11,2025-05-05,2025-05-31,18,0.71,True,retail,9,1
opp_5,cust_70,14015.79,AED,qualification,outbound,rep_11,2025-05-11,2025-06-14,0,0.39,True,retail,7,0
opp_6,cust_81,7312.58,AED,negotiation,inbound,rep_4,2025-04-24,2025-07-19,12,0.47,True,finance,9,0
opp_7,cust_36,16630.27,AED,closed_won,partner,rep_9,2025-10-31,2026-01-04,16,0.63,True,telecom,7,1
opp_8,cust_136,8956.93,AED,closed_won,outbound,rep_5,2025-07-20,2025-10-18,0,0.28,True,telecom,1,1
opp_9,cust_68,4336.07,AED,negotiation,inbound,rep_9,2025-08-26,2025-09-09,0,0.44,True,healthcare,7,0
opp_10,cust_136,5555.22,AED,closed_won,referral,rep_1,2025-03-29,2025-06-20,18,0.86,True,finance,3,1
opp_11,cust_33,3759.24,AED,prospecting,referral,rep_11,2025-02-10,2025-05-03,0,0.85,True,healthcare,7,0
opp_12,cust_103,4669.34,AED,prospecting,website,rep_11,2026-01-14,2026-02-22,19,0.62,True,finance,4,0
opp_13,cust_9,6531.39,AED,closed_won,partner,rep_6,2025-02-11,2025-03-04,16,0.66,False,retail,4,1
opp_14,cust_105,33497.52,AED,qualification,partner,rep_4,2025-09-05,2025-10-20,13,0.8,False,logistics,10,0
opp_15,cust_28,11930.69,AED,qualification,partner,rep_4,2026-01-13,2026-03-11,22,0.18,True,healthcare,14,0
opp_16,cust_61,2469.81,AED,proposal,partner,rep_3,2025-10-09,2025-10-24,16,0.66,True,finance,13,0
opp_17,cust_125,4230.31,AED,prospecting,partner,rep_3,2026-01-15,2026-04-10,8,0.66,True,retail,12,0
opp_18,cust_136,7819.28,AED,closed_lost,website,rep_3,2025-09-07,2025-11-24,11,0.55,False,healthcare,6,0
opp_19,cust_21,33939.13,AED,prospecting,outbound,rep_7,2025-10-29,2026-01-27,13,0.63,True,healthcare,11,1
opp_20,cust_19,5887.82,AED,proposal,referral,rep_1,2025-12-15,2026-02-05,16,0.38,True,healthcare,15,1
opp_21,cust_140,4987.99,AED,closed_lost,inbound,rep_12,2025-05-31,2025-07-04,9,0.3,True,logistics,11,0
opp_22,cust_53,10805.78,AED,proposal,website,rep_11,2025-11-11,2025-12-21,7,0.7,True,saas,15,1
opp_23,cust_142,24274.74,AED,proposal,referral,rep_12,2025-05-20,2025-06-23,1,0.9,True,telecom,12,1
opp_24,cust_11,11117.86,AED,prospecting,outbound,rep_6,2025-03-12,2025-03-31,0,0.68,True,retail,5,1
opp_25,cust_10,16464.53,AED,negotiation,referral,rep_8,2025-12-31,2026-01-27,0,0.64,True,finance,2,1
opp_26,cust_131,8358.06,AED,qualification,outbound,rep_7,2025-02-10,2025-03-31,14,0.72,True,healthcare,15,1
opp_27,cust_81,7216.41,AED,qualification,inbound,rep_7,2025-08-16,2025-10-13,29,0.99,True,healthcare,13,1
opp_28,cust_18,8434.24,AED,prospecting,website,rep_11,2025-10-08,2025-11-16,13,1.0,True,healthcare,9,1
opp_29,cust_98,8379.96,AED,qualification,inbound,rep_11,2025-03-12,2025-04-19,3,0.51,True,retail,6,1
opp_30,cust_114,7345.21,AED,proposal,referral,rep_11,2025-10-29,2025-12-23,0,0.76,True,finance,13,1
opp_31,cust_63,6237.2,AED,negotiation,outbound,rep_8,2025-04-17,2025-05-19,5,0.45,True,telecom,4,1
