external_id,created_at,trip_length,party_size,booking_lead_days,past_hotels,past_cars,past_activities,search_hotel,search_activity,loyalty_tier,fare_class,email_clicks,bought_ancillary,true_p0_ancillary,true_p_hotel,true_p_activity,true_p_car,true_p_insurance,true_p_bundle,offer_value
T-40000,2025-11-13,13.0,1.0,39.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1,0.9031,0.7841,0.3775,0.2789,0.1765,0.6012,120.0
T-40001,2025-10-05,8.0,3.0,72.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,0.0,1,0.95,0.8765,0.5744,0.343,0.2108,0.7406,120.0
T-40002,2025-10-26,10.0,2.0,12.0,2.0,1.0,5.0,5.0,4.0,2.0,2.0,3.0,0,0.95,0.832,0.8455,0.31,0.1795,0.8381,120.0
T-40003,2025-03-14,8.0,2.0,73.0,0.0,0.0,1.0,8.0,5.0,1.0,0.0,5.0,0,0.9272,0.7824,0.5744,0.2142,0.1804,0.6888,120.0
T-40004,2026-04-30,8.0,2.0,19.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1,0.8952,0.6726,0.2891,0.5498,0.1864,0.5,120.0
T-40005,2026-03-01,11.0,1.0,63.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,5.0,0,0.9422,0.7251,0.4256,0.6341,0.2351,0.5903,120.0
T-40006,2025-09-26,10.0,1.0,60.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1,0.9357,0.6295,0.7858,0.19,0.1978,0.6998,120.0
T-40007,2025-06-17,11.0,1.0,78.0,0.0,4.0,0.0,8.0,0.0,1.0,2.0,5.0,1,0.95,0.8205,0.2497,0.6341,0.2535,0.5637,120.0
T-40008,2026-01-21,8.0,3.0,11.0,2.0,3.0,3.0,5.0,6.0,3.0,1.0,4.0,1,0.95,0.8085,0.7858,0.5866,0.151,0.7983,120.0
T-40009,2026-05-08,8.0,1.0,77.0,4.0,0.0,2.0,0.0,7.0,2.0,2.0,5.0,1,0.95,0.7756,0.7503,0.19,0.2522,0.7642,120.0
T-40010,2025-10-29,7.0,1.0,41.0,4.0,4.0,1.0,9.0,6.0,0.0,2.0,1.0,1,0.95,0.9416,0.6225,0.6341,0.2097,0.798,120.0
T-40011,2025-07-21,11.0,2.0,4.0,1.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,1,0.95,0.7595,0.7109,0.4256,0.1451,0.7377,120.0
T-40012,2025-08-10,8.0,1.0,65.0,3.0,2.0,2.0,9.0,0.0,0.0,1.0,0.0,0,0.95,0.9248,0.4256,0.3894,0.2032,0.7002,120.0
T-40013,2025-03-17,11.0,4.0,27.0,7.0,2.0,0.0,1.0,6.0,2.0,2.0,4.0,1,0.95,0.9376,0.525,0.5,0.1947,0.7519,120.0
T-40014,2026-04-24,11.0,3.0,50.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,2.0,1,0.95,0.8839,0.6682,0.4626,0.1589,0.7868,120.0
T-40015,2025-10-04,9.0,2.0,83.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,4.0,1,0.95,0.7908,0.525,0.5498,0.1905,0.6712,120.0
T-40016,2025-06-10,5.0,3.0,67.0,7.0,0.0,4.0,9.0,2.0,3.0,1.0,4.0,1,0.95,0.9752,0.7109,0.2405,0.2053,0.8563,120.0
T-40017,2025-12-11,6.0,3.0,53.0,3.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,1,0.9411,0.81,0.2497,0.5866,0.2233,0.5579,120.0
T-40018,2025-04-02,8.0,2.0,53.0,2.0,4.0,2.0,6.0,7.0,3.0,0.0,4.0,0,0.95,0.8348,0.7503,0.6682,0.1616,0.7968,120.0
T-40019,2026-01-01,10.0,4.0,17.0,0.0,1.0,3.0,6.0,0.0,1.0,2.0,1.0,0,0.925,0.7465,0.525,0.3775,0.1844,0.6468,120.0
T-40020,2025-06-18,8.0,4.0,47.0,7.0,2.0,2.0,3.0,0.0,1.0,0.0,5.0,1,0.95,0.9443,0.4256,0.5,0.1562,0.7109,120.0
T-40021,2025-10-09,9.0,3.0,83.0,0.0,3.0,2.0,2.0,5.0,2.0,2.0,1.0,1,0.941,0.5695,0.6682,0.5866,0.2599,0.6139,120.0
T-40022,2026-04-10,11.0,4.0,42.0,4.0,2.0,1.0,6.0,5.0,1.0,1.0,3.0,1,0.95,0.9282,0.5744,0.5,0.1795,0.769,120.0
T-40023,2025-07-30,12.0,1.0,82.0,1.0,2.0,5.0,6.0,2.0,3.0,1.0,5.0,1,0.95,0.8306,0.7858,0.3894,0.2221,0.8105,120.0
T-40024,2026-02-09,3.0,1.0,4.0,7.0,4.0,5.0,1.0,4.0,1.0,2.0,0.0,1,0.95,0.888,0.8455,0.6341,0.1717,0.8689,120.0
T-40025,2026-05-24,10.0,3.0,49.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,4.0,1,0.95,0.832,0.7109,0.5866,0.1864,0.7775,120.0
T-40026,2025-10-07,13.0,1.0,39.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1,0.95,0.8797,0.5744,0.19,0.1765,0.7424,120.0
T-40027,2025-11-26,8.0,3.0,33.0,3.0,0.0,3.0,5.0,7.0,0.0,2.0,1.0,1,0.95,0.8569,0.8176,0.2405,0.201,0.8392,120.0
T-40028,2025-03-15,8.0,1.0,31.0,2.0,2.0,5.0,3.0,1.0,2.0,0.0,2.0,0,0.95,0.7465,0.7503,0.3894,0.1427,0.7482,120.0
T-40029,2025-07-14,13.0,2.0,37.0,4.0,1.0,2.0,7.0,4.0,3.0,2.0,2.0,1,0.95,0.9478,0.6225,0.31,0.2053,0.8014,120.0
