external_id,created_at,account_age_months,monthly_revenue,remaining_arr,logins_30d,logins_prev_30d,login_frequency_change,features_used,previous_features_used,feature_usage_change,support_tickets,negative_support,support_ticket_growth,emails_opened,emails_clicked,email_engagement,last_login_days,payment_failures,days_until_renewal,number_of_users,user_activity_variance,historical_discount,churned,upgraded,responded,high_ltv,support_30d,upgrade_arpu,expected_contribution,avoided_support_cost,incremental_margin,true_p0_churn,true_p0_upsell,true_p0_response,true_p0_high_ltv,true_p0_support
C-10000,2025-08-29,7.0,99.0,1188.0,29.0,25.0,0.16,10.0,8.0,0.25,1.0,1.0,0.5206,3.0,3.0,0.3,39.0,1.0,96.0,25.0,0.3345,0.0,1,0,0,1,0,120.0,265.36,65.0,14.85,0.5939,0.5481,0.2891,0.1004,0.5424
C-10001,2025-07-30,46.0,399.0,4788.0,29.0,25.0,0.16,10.0,11.0,-0.0909,2.0,0.0,-0.9437,7.0,7.0,0.7,8.0,0.0,108.0,19.0,0.192,1.0,0,1,0,1,0,360.0,2476.65,90.0,59.85,0.0595,0.8116,0.6593,0.7244,0.2973
C-10002,2025-05-04,39.0,399.0,4788.0,21.0,21.0,0.0,6.0,9.0,-0.3333,1.0,0.0,-0.0671,1.0,0.0,0.05,12.0,0.0,150.0,37.0,0.05,1.0,0,1,0,1,0,360.0,2287.78,65.0,59.85,0.1312,0.8182,0.387,0.6675,0.2809
C-10003,2026-02-04,27.0,99.0,1188.0,5.0,4.0,0.25,6.0,6.0,0.0,1.0,0.0,0.2727,7.0,4.0,0.55,28.0,1.0,136.0,23.0,0.6184,1.0,0,1,0,0,0,120.0,476.39,65.0,14.85,0.2709,0.5926,0.505,0.1311,0.387
C-10004,2026-05-05,27.0,49.0,588.0,2.0,9.0,-0.7778,5.0,6.0,-0.1667,1.0,1.0,0.1306,0.0,0.0,0.0,32.0,0.0,156.0,25.0,0.5406,0.0,0,1,1,0,1,120.0,87.93,65.0,8.0,0.7281,0.5314,0.2244,0.0797,0.5523
C-10005,2025-11-04,51.0,799.0,9588.0,6.0,19.0,-0.6842,2.0,3.0,-0.3333,1.0,1.0,-1.3684,0.0,0.0,0.0,39.0,0.0,169.0,38.0,0.6337,1.0,0,0,0,1,0,360.0,1667.12,65.0,80.0,0.6839,0.7646,0.2535,0.4527,0.6388
C-10006,2024-06-11,6.0,49.0,588.0,28.0,27.0,0.037,7.0,8.0,-0.125,3.0,2.0,0.1049,3.0,0.0,0.15,0.0,0.0,25.0,37.0,0.255,0.0,0,0,0,0,1,120.0,221.4,115.0,8.0,0.3154,0.6064,0.411,0.0949,0.6106
C-10007,2025-11-10,42.0,249.0,2988.0,24.0,22.0,0.0909,8.0,3.0,1.6667,1.0,0.0,0.509,2.0,1.0,0.15,2.0,0.0,21.0,14.0,0.5608,1.0,0,0,1,1,1,360.0,1434.19,65.0,37.35,0.1273,0.7381,0.475,0.3722,0.2075
C-10008,2025-03-19,13.0,99.0,1188.0,19.0,12.0,0.5833,0.0,4.0,-1.0,2.0,1.0,1.2637,5.0,4.0,0.45,21.0,0.0,83.0,12.0,0.0995,1.0,0,0,0,1,0,120.0,490.83,90.0,14.85,0.2488,0.3308,0.5,0.1335,0.6295
C-10009,2025-04-18,7.0,49.0,588.0,16.0,7.0,1.2857,2.0,3.0,-0.3333,0.0,0.0,-0.535,1.0,0.0,0.05,25.0,0.0,31.0,30.0,0.2261,0.0,0,1,0,0,0,120.0,224.86,40.0,8.0,0.3047,0.462,0.265,0.0953,0.3208
C-10010,2026-04-10,32.0,399.0,4788.0,35.0,26.0,0.3462,3.0,4.0,-0.25,0.0,0.0,-0.4364,2.0,1.0,0.15,11.0,0.0,91.0,21.0,0.4252,0.0,0,1,1,1,0,360.0,2296.69,40.0,59.85,0.1279,0.6561,0.3589,0.6703,0.2279
C-10011,2025-04-10,58.0,49.0,588.0,2.0,8.0,-0.75,3.0,5.0,-0.4,1.0,0.0,-0.1671,1.0,0.0,0.05,28.0,0.0,108.0,18.0,0.5326,0.0,0,0,1,0,1,120.0,170.18,65.0,8.0,0.4738,0.6232,0.2535,0.0888,0.4231
C-10012,2026-01-20,44.0,399.0,4788.0,8.0,10.0,-0.2,3.0,1.0,2.0,2.0,1.0,0.233,10.0,7.0,0.85,11.0,0.0,53.0,28.0,0.7358,1.0,0,1,0,1,0,360.0,2324.98,90.0,59.85,0.1171,0.7505,0.6985,0.6792,0.52
C-10013,2025-07-26,46.0,399.0,4788.0,30.0,27.0,0.1111,10.0,8.0,0.25,0.0,0.0,0.0776,8.0,6.0,0.7,41.0,1.0,22.0,26.0,0.352,0.0,0,1,1,0,1,360.0,1496.61,40.0,59.85,0.4317,0.8152,0.4256,0.3933,0.3385
C-10014,2024-03-18,43.0,49.0,588.0,31.0,16.0,0.9375,4.0,5.0,-0.2,1.0,1.0,0.4834,2.0,0.0,0.1,7.0,0.0,173.0,36.0,0.2269,0.0,1,1,0,0,0,120.0,280.21,65.0,8.0,0.1335,0.7297,0.3589,0.1024,0.3799
C-10015,2025-09-09,47.0,99.0,1188.0,17.0,8.0,1.125,10.0,11.0,-0.0909,1.0,0.0,-0.9001,1.0,0.0,0.05,29.0,0.0,69.0,15.0,0.2166,0.0,0,1,0,0,0,120.0,507.32,65.0,14.85,0.2236,0.7065,0.2497,0.1363,0.3475
C-10016,2025-03-12,31.0,399.0,4788.0,8.0,1.0,7.0,1.0,2.0,-0.5,0.0,0.0,0.3175,10.0,7.0,0.85,23.0,1.0,151.0,30.0,0.2624,1.0,0,1,0,0,0,360.0,2170.42,40.0,59.85,0.1758,0.6709,0.6457,0.6293,0.3186
C-10017,2025-04-26,9.0,249.0,2988.0,10.0,12.0,-0.1667,7.0,8.0,-0.125,2.0,2.0,-0.5938,8.0,8.0,0.8,4.0,0.0,114.0,9.0,0.8442,1.0,0,1,1,0,1,360.0,1337.43,90.0,37.35,0.1862,0.5292,0.7109,0.3406,0.5424
C-10018,2024-09-23,50.0,49.0,588.0,22.0,27.0,-0.1852,1.0,2.0,-0.5,0.0,0.0,-0.1147,10.0,9.0,0.95,27.0,0.0,120.0,37.0,0.5514,1.0,0,1,1,0,0,120.0,279.71,40.0,8.0,0.1351,0.7155,0.6637,0.1023,0.3452
C-10019,2024-06-12,28.0,799.0,9588.0,17.0,12.0,0.4167,6.0,7.0,-0.1429,1.0,0.0,1.3664,2.0,0.0,0.1,6.0,0.0,141.0,4.0,0.6225,0.0,0,1,0,1,1,360.0,4666.61,65.0,80.0,0.1151,0.575,0.3635,0.9836,0.246
C-10020,2025-10-18,31.0,99.0,1188.0,12.0,19.0,-0.3684,6.0,6.0,0.0,0.0,0.0,-1.1186,4.0,3.0,0.35,24.0,1.0,51.0,30.0,0.3522,0.0,0,0,1,0,0,120.0,389.11,40.0,14.85,0.4045,0.6451,0.3729,0.1176,0.2729
C-10021,2024-08-07,23.0,49.0,588.0,6.0,7.0,-0.1429,6.0,5.0,0.2,2.0,0.0,-0.2236,1.0,1.0,0.1,28.0,0.0,43.0,4.0,0.3997,0.0,1,1,0,0,0,120.0,217.37,90.0,8.0,0.3279,0.4246,0.2689,0.0944,0.485
C-10022,2024-03-23,12.0,799.0,9588.0,20.0,21.0,-0.0476,4.0,8.0,-0.5,1.0,0.0,-1.0197,5.0,4.0,0.45,3.0,0.0,179.0,35.0,0.5399,1.0,0,1,0,1,0,360.0,4730.22,65.0,80.0,0.103,0.681,0.589,0.985,0.2479
C-10023,2025-03-10,55.0,49.0,588.0,31.0,21.0,0.4762,7.0,10.0,-0.3,0.0,0.0,0.1225,1.0,0.0,0.05,9.0,2.0,121.0,38.0,0.2988,1.0,0,1,0,1,0,120.0,257.61,40.0,8.0,0.2034,0.8173,0.4013,0.0994,0.1854
C-10024,2025-09-19,47.0,249.0,2988.0,15.0,17.0,-0.1176,0.0,4.0,-1.0,1.0,1.0,0.8386,0.0,0.0,0.0,13.0,0.0,56.0,32.0,0.3417,1.0,0,1,0,1,0,360.0,1307.28,65.0,37.35,0.2045,0.7306,0.3635,0.331,0.4725
C-10025,2024-06-28,39.0,799.0,9588.0,6.0,21.0,-0.7143,12.0,10.0,0.2,2.0,0.0,0.1357,6.0,6.0,0.6,41.0,0.0,118.0,31.0,0.2651,0.0,1,1,0,0,0,360.0,2366.45,90.0,80.0,0.5512,0.8312,0.387,0.6919,0.5075
C-10026,2024-11-15,25.0,249.0,2988.0,19.0,16.0,0.1875,3.0,3.0,0.0,2.0,1.0,-0.0934,11.0,10.0,1.0,9.0,0.0,73.0,19.0,0.3105,1.0,0,1,0,1,1,360.0,1496.35,90.0,37.35,0.0895,0.6143,0.754,0.3932,0.505
C-10027,2025-01-08,49.0,249.0,2988.0,7.0,11.0,-0.3636,5.0,4.0,0.25,1.0,0.0,1.0627,7.0,4.0,0.55,41.0,0.0,155.0,10.0,0.4098,1.0,0,1,0,0,1,360.0,1034.67,65.0,37.35,0.3704,0.667,0.4403,0.251,0.495
C-10028,2026-03-25,33.0,149.0,1788.0,20.0,20.0,0.0,0.0,4.0,-1.0,2.0,1.0,0.2644,9.0,9.0,0.9,24.0,1.0,93.0,39.0,0.2357,1.0,0,0,0,0,0,120.0,760.11,90.0,22.35,0.2271,0.6263,0.6593,0.1846,0.6502
C-10029,2024-05-09,27.0,49.0,588.0,22.0,23.0,-0.0435,14.0,11.0,0.2727,1.0,0.0,0.6557,9.0,6.0,0.75,42.0,2.0,59.0,21.0,0.4572,1.0,0,1,1,0,0,120.0,162.65,65.0,8.0,0.4971,0.6988,0.515,0.0879,0.3917
C-10030,2026-03-20,28.0,249.0,2988.0,21.0,23.0,-0.087,0.0,2.0,-1.0,1.0,0.0,0.5722,11.0,11.0,1.0,37.0,0.0,125.0,32.0,0.4569,0.0,0,0,1,0,0,360.0,1291.02,65.0,37.35,0.2144,0.6486,0.5646,0.3258,0.5275
