external_id,created_at,company_size,industry,country,job_title,lead_source,website_visits,pricing_page_visits,demo_request,email_opens,email_clicks,sales_calls,days_since_contact,number_of_employees,previous_interactions,campaign_engagement,deal_amount,historical_call,converted,true_p0_converted
L-20000,2025-08-16,200.0,3.0,1.0,3.0,0.0,6.0,1.0,0.0,2.0,1.0,1.0,26.0,200.0,11.0,0.4725,4000.0,0.0,1,0.2341
L-20001,2026-04-24,200.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,10.0,9.0,2.0,14.0,200.0,0.0,0.289,28000.0,1.0,1,0.772
L-20002,2026-05-17,80.0,4.0,3.0,0.0,3.0,19.0,1.0,0.0,13.0,11.0,0.0,6.0,80.0,7.0,0.0517,15000.0,1.0,0,0.7305
L-20003,2024-08-16,8.0,0.0,5.0,4.0,4.0,14.0,0.0,0.0,2.0,0.0,0.0,15.0,8.0,3.0,0.1223,8000.0,0.0,0,0.2059
L-20004,2025-01-02,200.0,2.0,6.0,0.0,2.0,21.0,2.0,1.0,11.0,8.0,5.0,8.0,200.0,1.0,0.5276,60000.0,1.0,1,0.9851
L-20005,2024-12-15,8.0,3.0,4.0,4.0,0.0,5.0,3.0,0.0,10.0,6.0,0.0,0.0,8.0,10.0,0.2103,8000.0,1.0,0,0.5572
L-20006,2025-11-04,25.0,0.0,7.0,1.0,3.0,22.0,4.0,0.0,12.0,12.0,2.0,20.0,25.0,7.0,0.5807,15000.0,1.0,1,0.9492
L-20007,2025-03-07,2000.0,0.0,2.0,4.0,3.0,25.0,2.0,0.0,1.0,0.0,3.0,24.0,2000.0,5.0,0.3492,28000.0,1.0,1,0.7479
L-20008,2025-10-16,80.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,11.0,11.0,2.0,9.0,80.0,1.0,0.5606,28000.0,0.0,0,0.5387
L-20009,2025-06-27,200.0,3.0,6.0,2.0,4.0,26.0,0.0,1.0,8.0,6.0,4.0,39.0,200.0,1.0,0.4817,28000.0,1.0,1,0.9193
L-20010,2025-01-08,2000.0,2.0,0.0,4.0,4.0,12.0,0.0,0.0,5.0,1.0,1.0,19.0,2000.0,1.0,0.3408,28000.0,0.0,0,0.2911
L-20011,2024-11-17,25.0,3.0,6.0,4.0,3.0,2.0,3.0,0.0,13.0,10.0,0.0,22.0,25.0,9.0,0.287,4000.0,1.0,0,0.4782
L-20012,2026-01-20,2000.0,1.0,3.0,0.0,3.0,15.0,7.0,0.0,9.0,9.0,4.0,9.0,2000.0,2.0,0.1509,8000.0,1.0,1,0.9744
L-20013,2025-05-27,600.0,2.0,7.0,3.0,0.0,14.0,7.0,0.0,11.0,9.0,1.0,28.0,600.0,7.0,0.3296,8000.0,1.0,1,0.9138
L-20014,2025-07-28,80.0,4.0,4.0,3.0,3.0,28.0,0.0,0.0,4.0,2.0,2.0,26.0,80.0,3.0,0.1906,8000.0,0.0,0,0.5774
L-20015,2025-07-07,25.0,4.0,1.0,3.0,3.0,17.0,3.0,0.0,3.0,0.0,3.0,15.0,25.0,11.0,0.0663,28000.0,1.0,1,0.6624
