external_id,created_at,orders_30d,orders_90d,average_order_value,days_since_last_purchase,product_views_7d,cart_additions,cart_abandonments,email_clicks,discount_usage,website_sessions,mobile_sessions,category_preferences,price_sensitivity,campaign_exposure,historical_discount,expected_margin,purchased_7d,true_p0_purchase
S-30000,2026-05-21,4.0,10.0,83.95,6.0,12.0,0.0,1.0,7.0,1.0,14.0,1.0,5.0,0.9568,4.0,0.0,35.26,1,0.8569
S-30001,2026-02-08,0.0,0.0,89.84,5.0,23.0,7.0,4.0,7.0,2.0,14.0,4.0,4.0,0.9498,1.0,0.0,37.73,1,0.8961
S-30002,2026-05-01,4.0,10.0,79.01,43.0,18.0,5.0,3.0,5.0,2.0,2.0,6.0,2.0,0.878,7.0,1.0,33.18,1,0.7512
S-30003,2025-07-18,1.0,7.0,85.17,35.0,0.0,0.0,2.0,0.0,2.0,19.0,13.0,3.0,0.4805,7.0,0.0,35.77,0,0.2271
S-30004,2025-06-21,3.0,10.0,67.91,26.0,27.0,7.0,4.0,3.0,2.0,15.0,11.0,3.0,0.4767,7.0,0.0,28.52,1,0.9183
S-30005,2025-06-21,2.0,5.0,44.52,6.0,30.0,6.0,2.0,2.0,2.0,8.0,4.0,0.0,0.6918,5.0,1.0,18.7,1,0.9097
S-30006,2026-02-14,0.0,0.0,109.17,49.0,38.0,6.0,1.0,5.0,2.0,15.0,4.0,4.0,0.7848,6.0,1.0,45.85,1,0.8647
S-30007,2026-01-01,5.0,6.0,80.9,14.0,32.0,4.0,3.0,3.0,0.0,5.0,7.0,4.0,0.7627,5.0,0.0,33.98,1,0.9168
S-30008,2026-02-13,3.0,4.0,139.16,26.0,10.0,7.0,3.0,3.0,2.0,2.0,8.0,4.0,0.6068,3.0,1.0,58.45,1,0.7649
S-30009,2025-07-11,0.0,1.0,79.25,39.0,8.0,3.0,4.0,4.0,1.0,15.0,5.0,4.0,0.7615,4.0,1.0,33.28,0,0.3285
S-30010,2025-12-25,5.0,5.0,27.36,57.0,5.0,1.0,2.0,9.0,1.0,10.0,7.0,4.0,0.8554,3.0,1.0,11.49,0,0.6559
S-30011,2026-01-08,5.0,12.0,79.15,3.0,30.0,1.0,1.0,6.0,2.0,16.0,14.0,4.0,0.1751,1.0,1.0,33.24,1,0.9614
S-30012,2025-03-31,0.0,3.0,120.04,9.0,29.0,7.0,3.0,5.0,1.0,17.0,11.0,3.0,0.749,3.0,1.0,50.42,1,0.9209
S-30013,2025-10-13,0.0,2.0,136.21,54.0,21.0,5.0,1.0,7.0,3.0,10.0,6.0,1.0,0.8305,1.0,1.0,57.21,1,0.6704
S-30014,2025-05-04,0.0,0.0,66.71,31.0,37.0,4.0,3.0,8.0,1.0,17.0,3.0,4.0,0.2703,3.0,1.0,28.02,1,0.8513
S-30015,2026-05-24,2.0,8.0,110.89,59.0,18.0,3.0,2.0,3.0,1.0,5.0,0.0,2.0,0.1302,2.0,1.0,46.57,0,0.4025
S-30016,2026-04-27,2.0,6.0,135.22,47.0,37.0,7.0,1.0,4.0,0.0,15.0,4.0,4.0,0.9752,3.0,1.0,56.79,1,0.9385
S-30017,2025-04-14,4.0,10.0,127.84,32.0,16.0,2.0,4.0,0.0,2.0,12.0,14.0,5.0,0.6906,3.0,1.0,53.69,0,0.5597
S-30018,2025-12-16,4.0,11.0,126.22,58.0,26.0,3.0,2.0,9.0,1.0,3.0,1.0,1.0,0.1941,1.0,1.0,53.01,0,0.7773
S-30019,2026-05-11,3.0,10.0,103.42,49.0,1.0,1.0,3.0,2.0,2.0,11.0,0.0,5.0,0.8936,3.0,0.0,43.43,1,0.266
S-30020,2025-09-08,2.0,8.0,115.49,57.0,11.0,4.0,3.0,4.0,2.0,15.0,14.0,0.0,0.7599,0.0,1.0,48.51,1,0.5387
S-30021,2025-04-18,5.0,9.0,89.41,45.0,19.0,0.0,4.0,8.0,3.0,2.0,4.0,1.0,0.7725,1.0,0.0,37.55,0,0.5461
S-30022,2025-12-29,2.0,9.0,94.66,7.0,8.0,4.0,4.0,5.0,3.0,4.0,8.0,2.0,0.3895,7.0,1.0,39.76,0,0.6283
S-30023,2025-05-07,2.0,3.0,91.51,7.0,26.0,6.0,0.0,5.0,0.0,6.0,10.0,3.0,0.0549,3.0,1.0,38.44,0,0.9429
S-30024,2025-09-13,2.0,9.0,116.87,29.0,38.0,2.0,0.0,4.0,1.0,14.0,5.0,2.0,0.7299,4.0,0.0,49.08,0,0.8781
S-30025,2026-01-17,5.0,5.0,128.74,36.0,36.0,0.0,0.0,4.0,0.0,1.0,5.0,4.0,0.4855,7.0,1.0,54.07,1,0.8069
S-30026,2025-11-07,5.0,10.0,42.57,7.0,12.0,0.0,4.0,8.0,3.0,5.0,13.0,3.0,0.4902,1.0,1.0,17.88,1,0.7379
S-30027,2025-02-09,5.0,5.0,136.29,41.0,14.0,2.0,0.0,6.0,0.0,1.0,9.0,3.0,0.1809,6.0,1.0,57.24,1,0.7729
S-30028,2026-04-21,3.0,6.0,128.54,29.0,31.0,6.0,4.0,1.0,0.0,12.0,5.0,5.0,0.334,7.0,0.0,53.99,1,0.8588
S-30029,2025-09-26,4.0,9.0,44.86,33.0,20.0,1.0,1.0,9.0,3.0,4.0,14.0,0.0,0.8582,0.0,1.0,18.84,1,0.7949
S-30030,2025-06-12,2.0,3.0,94.95,42.0,16.0,0.0,4.0,4.0,1.0,19.0,4.0,1.0,0.5983,2.0,0.0,39.88,0,0.4085
S-30031,2025-07-21,0.0,6.0,51.41,29.0,12.0,1.0,2.0,2.0,3.0,10.0,6.0,2.0,0.6194,5.0,0.0,21.59,1,0.2759
S-30032,2025-12-06,3.0,4.0,23.01,43.0,16.0,0.0,4.0,5.0,1.0,3.0,10.0,4.0,0.7568,5.0,1.0,9.67,0,0.2921
S-30033,2025-01-06,4.0,10.0,124.74,5.0,14.0,4.0,1.0,5.0,3.0,2.0,10.0,0.0,0.2304,0.0,1.0,52.39,1,0.8865
S-30034,2026-03-21,0.0,4.0,68.79,34.0,7.0,6.0,3.0,5.0,1.0,16.0,2.0,1.0,0.5614,5.0,1.0,28.89,1,0.6479
S-30035,2025-05-04,5.0,6.0,96.03,10.0,16.0,0.0,3.0,8.0,0.0,18.0,9.0,3.0,0.791,3.0,0.0,40.33,1,0.8928
S-30036,2025-12-14,3.0,6.0,90.24,37.0,29.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.1485,7.0,1.0,37.9,0,0.3929
S-30037,2025-08-10,3.0,6.0,120.35,50.0,25.0,5.0,2.0,4.0,0.0,14.0,1.0,2.0,0.4246,7.0,0.0,50.55,1,0.8429
S-30038,2025-09-11,5.0,5.0,21.96,55.0,6.0,1.0,2.0,8.0,0.0,19.0,11.0,1.0,0.4135,4.0,1.0,9.22,1,0.7604
S-30039,2026-02-16,1.0,1.0,36.26,31.0,28.0,6.0,2.0,1.0,1.0,15.0,12.0,0.0,0.8027,4.0,1.0,15.23,1,0.8256
S-30040,2025-03-23,5.0,6.0,36.2,27.0,22.0,7.0,4.0,1.0,0.0,14.0,2.0,5.0,0.1783,0.0,0.0,15.2,1,0.9305
S-30041,2026-05-13,1.0,3.0,79.35,21.0,6.0,4.0,2.0,0.0,0.0,2.0,4.0,5.0,0.3099,2.0,0.0,33.33,0,0.3694
S-30042,2025-01-01,4.0,10.0,83.29,14.0,36.0,3.0,2.0,6.0,3.0,4.0,3.0,0.0,0.2046,3.0,1.0,34.98,1,0.9206
S-30043,2025-10-12,5.0,8.0,82.26,17.0,18.0,0.0,3.0,5.0,1.0,11.0,0.0,5.0,0.4448,2.0,0.0,34.55,0,0.7764
S-30044,2025-04-17,3.0,6.0,111.87,5.0,17.0,0.0,1.0,5.0,1.0,8.0,2.0,3.0,0.2672,7.0,1.0,46.98,0,0.7436
S-30045,2025-03-10,0.0,2.0,121.26,32.0,18.0,6.0,1.0,1.0,2.0,13.0,13.0,4.0,0.6556,3.0,0.0,50.93,1,0.7068
S-30046,2025-09-24,4.0,11.0,85.02,45.0,32.0,3.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0736,2.0,0.0,35.71,1,0.7982
S-30047,2025-01-25,3.0,9.0,121.47,43.0,19.0,3.0,4.0,1.0,2.0,3.0,14.0,5.0,0.5303,7.0,1.0,51.02,0,0.4001
S-30048,2025-08-08,5.0,5.0,124.06,33.0,22.0,7.0,1.0,8.0,3.0,14.0,4.0,1.0,0.6812,1.0,1.0,52.11,1,0.981
S-30049,2026-04-29,1.0,8.0,22.33,3.0,5.0,7.0,1.0,1.0,3.0,14.0,12.0,3.0,0.349,6.0,1.0,9.38,1,0.8551
S-30050,2025-01-25,1.0,6.0,101.98,29.0,25.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,0.1497,3.0,0.0,42.83,0,0.2984
S-30051,2025-08-02,1.0,4.0,112.32,46.0,27.0,1.0,2.0,6.0,1.0,17.0,9.0,4.0,0.5729,1.0,1.0,47.17,1,0.613
S-30052,2026-05-15,5.0,10.0,121.99,46.0,17.0,2.0,3.0,8.0,0.0,5.0,8.0,2.0,0.8224,6.0,1.0,51.24,1,0.7389
